順位,ティッカー,会社名,スコア,PER,PBR,配当利回り,時価総額
1,2429.T,"World Holdings Co., Ltd.",86.07,7.11,0.99,10.03%,491億円
2,2121.T,"MIXI, Inc.",79.24,10.49,0.98,4.59%,1710億円
3,1964.T,"Chugai Ro Co., Ltd.",77.65,10.18,1.23,3.04%,356億円
4,1518.T,"Mitsui Matsushima Holdings Co., Ltd.",77.61,7.33,1.08,4.3%,572億円
5,2153.T,E J Holdings Inc.,77.6,9.02,0.95,3.72%,334億円
6,2674.T,"Hard Off Corporation Co.,Ltd.",75.86,13.03,1.53,3.85%,289億円
7,1814.T,"Daisue Construction Co., Ltd.",74.87,15.12,1.83,4.12%,447億円
8,1870.T,"Yahagi Construction Co.,Ltd.",74.13,9.94,1.42,3.68%,1036億円
9,1952.T,"Shin Nippon Air Technologies Co., Ltd.",73.63,14.31,2.2,3.72%,1676億円
10,1860.T,Toda Corporation,72.92,14.84,1.21,3.3%,4562億円
