順位,ティッカー,会社名,スコア,PER,PBR,配当利回り,時価総額
1,2121.T,"MIXI, Inc.",79.24,10.49,0.98,4.59%,1710億円
2,1964.T,"Chugai Ro Co., Ltd.",77.65,10.18,1.23,3.04%,356億円
3,1518.T,"Mitsui Matsushima Holdings Co., Ltd.",77.61,7.33,1.08,4.3%,572億円
4,2153.T,E J Holdings Inc.,77.6,9.02,0.95,3.72%,334億円
5,1814.T,"Daisue Construction Co., Ltd.",74.87,15.12,1.83,4.12%,447億円
6,1870.T,"Yahagi Construction Co.,Ltd.",74.13,9.94,1.42,3.68%,1036億円
7,1952.T,"Shin Nippon Air Technologies Co., Ltd.",73.63,14.31,2.2,3.72%,1676億円
8,1860.T,Toda Corporation,72.92,14.84,1.21,3.3%,4562億円
9,1911.T,"Sumitomo Forestry Co., Ltd.",71.16,9.96,1.06,3.03%,10596億円
10,1929.T,"Nittoc Construction Co., Ltd.",70.04,17.49,1.63,3.49%,587億円
