順位,ティッカー,会社名,スコア,PER,PBR,配当利回り,時価総額
1,9984.T,SoftBank Group Corp.,78.81,8.3,1.64,25.0%,253025億円
2,9104.T,"Mitsui O.S.K. Lines, Ltd.",75.64,6.47,0.69,3.83%,18599億円
3,9022.T,Central Japan Railway Company,75.14,9.0,0.93,69.0%,45991億円
4,8601.T,Daiwa Securities Group Inc.,72.03,14.92,1.31,3.63%,22501億円
5,8750.T,"Dai-ichi Life Holdings, Inc.",70.19,14.26,1.4,3.56%,57195億円
6,8804.T,"Tokyo Tatemono Co., Ltd.",70.12,14.67,1.46,2.99%,8616億円
7,8304.T,"Aozora Bank, Ltd.",68.27,18.18,0.84,3.1%,4001億円
8,8591.T,ORIX Corporation,67.76,13.43,1.35,3.46%,61837億円
9,8604.T,"Nomura Holdings, Inc.",67.71,12.36,1.17,3.72%,42805億円
10,9107.T,"Kawasaki Kisen Kaisha, Ltd.",67.15,7.94,0.87,5.18%,15075億円
